,Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1431765,,,,,,,,1,21/01/2022,Vente,"563800,00",71.0,,RUE,8605,DE SEGUR,33000.0,BORDEAUX,33,63,,ET,50,,48,,8,,,,,,,,2,2.0,Appartement,,126.0,5.0,,,
1431783,,,,,,,,1,24/01/2022,Vente,"280000,00",15.0,,RUE,2025,DE CHATEAUDUN,33000.0,BORDEAUX,33,63,,EW,62,,,,,,,,,,,,0,1.0,Maison,,58.0,2.0,S,,79.0
1431784,,,,,,,,1,18/01/2022,Vente,"530100,00",264.0,,AV,7900,DE LA REPUBLIQUE  CAUD,33200.0,BORDEAUX,33,63,,MM,18,,,,,,,,,,,,0,1.0,Maison,,90.0,3.0,S,,141.0
1431789,,,,,,,,1,07/01/2022,Vente,"384300,00",15.0,,RUE,1935,CHARLES DURAND,33300.0,BORDEAUX,33,63,,RX,126,,197,"86,27",,,,,,,,,1,2.0,Appartement,,77.0,3.0,,,
1431806,,,,,,,,1,18/01/2022,Vente,"415000,00",39.0,,RUE,2390,DE LA CROIX BLANCHE,33000.0,BORDEAUX,33,63,,LR,143,,4,,6,"65,46",,,,,,,2,2.0,Appartement,,64.0,3.0,,,
1431816,,,,,,,,1,21/01/2022,Vente,"237600,00",82.0,,RUE,3735,FRERE,33000.0,BORDEAUX,33,63,,PO,37,,144,"38,01",15,,,,,,,,2,2.0,Appartement,,40.0,1.0,,,
1431821,,,,,,,,1,04/01/2022,Vente,"210000,00",1.0,,RUE,9447,VITAL MAREILLE,33300.0,BORDEAUX,33,63,,RM,131,,45,,,,,,,,,,1,2.0,Appartement,,48.0,2.0,,,
1431822,,,,,,,,1,21/01/2022,Vente,"640000,00",14.0,,RUE,6480,MONSARRAT,33800.0,BORDEAUX,33,63,,EM,7,,,,,,,,,,,,0,1.0,Maison,,90.0,5.0,S,,178.0
1431835,,,,,,,,1,13/01/2022,Vente,"230000,00",11.0,,RUE,7120,PENICAUD,33300.0,BORDEAUX,33,63,,RE,14,,12,,,,,,,,,,1,2.0,Appartement,,55.0,2.0,,,
1431849,,,,,,,,1,06/01/2022,Vente,"209500,00",40.0,,ALL,4318,HAUSSMANN,33300.0,BORDEAUX,33,63,,RM,45,,118,,,,,,,,,,1,2.0,Appartement,,48.0,2.0,,,
1431859,,,,,,,,1,21/01/2022,Vente,"162000,00",40.0,,ALL,4318,HAUSSMANN,33300.0,BORDEAUX,33,63,,RM,45,,38,"47,50",,,,,,,,,1,2.0,Appartement,,49.0,2.0,,,
1431865,,,,,,,,1,12/01/2022,Vente,"167500,00",99.0,,BD,0080,ALBERT 1ER,33800.0,BORDEAUX,33,63,,CB,88,,622,,669,"60,06",,,,,,,2,2.0,Appartement,,60.0,3.0,,,
